Rank  ,Name ,Name,Rank,CoC Name,Rank-Number,Overall Homeless,PIT,Rank-HomelessPopulation,Rank-Rate,Rank-Rate (CoC Rates and Ranking),Rate,Rate of Homelessness,ValueToDisplay,ValueToDisplay CoC
200,SC-503,SC,50,"Myrtle Beach, Sumter City & County CoC",130,"1,034","3,608",32,50,200,6.947458497,11.0,7,11.025499400
85,NJ-504,NJ,31,Newark/Essex County CoC,65,"1,914","8,752",16,31,85,9.443285314,22.4,9,22.388138264
114,IA-500,IA,46,"Sioux City/Dakota, Woodbury Counties CoC",327,212,"2,419",38,46,114,7.564838232,16.7,8,16.712916246
62,CA-520,CA,2,Merced City & County CoC,147,855,"171,521",1,2,62,43.819083728,29.8,44,29.846994879
87,KY-502,KY,35,Lexington-Fayette County CoC,168,715,"3,984",29,35,87,8.840389039,22.2,9,22.219252749
149,NJ-514,NJ,31,Trenton/Mercer County CoC,208,533,"8,752",16,31,149,9.443285314,13.8,9,13.811939943
172,WI-503,WI,40,Madison/Dane County CoC,170,701,"4,775",26,40,172,8.120608813,12.4,8,12.430157939
257,GA-501,GA,28,Georgia Balance of State CoC,12,"5,856","10,689",10,28,257,9.908204733,7.9,10,7.942081395
9,CA-600,CA,2,Los Angeles City & County CoC,1,"65,111","171,521",1,2,9,43.819083728,72.0,44,71.982571442
265,IL-508,IL,49,"East St. Louis, Belleville/St. Clair County CoC",332,197,"9,212",15,49,265,7.261279715,7.7,7,7.731675537
67,TN-504,TN,17,Nashville-Davidson County CoC,64,"1,916","10,567",12,17,67,15.164276312,27.2,15,27.217726183
220,AL-500,AL,48,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",136,943,"3,752",31,48,220,7.429929546,9.5,7,9.549657205
159,AZ-500,AZ,13,Arizona Balance of State CoC,49,"2,300","13,553",8,13,159,18.655511993,13.3,19,13.312511793
355,IL-511,IL,49,Cook County CoC,121,"1,096","9,212",15,49,355,7.261279715,4.4,7,4.425438032
171,NJ-500,NJ,31,Atlantic City & County CoC,274,343,"8,752",16,31,171,9.443285314,12.5,9,12.474269546
150,FL-505,FL,22,"Fort Walton Beach/Okaloosa, Walton Counties CoC",248,403,"25,959",3,22,150,11.892485771,13.7,12,13.739073516
358,PA-601,PA,29,Western Pennsylvania CoC,164,735,"12,691",9,29,358,9.753260418,4.3,10,4.339362982
164,MD-513,MD,36,"Wicomico, Somerset, Worcester Counties CoC",314,237,"5,349",25,36,164,8.662895308,13.0,9,13.043765410
163,OH-500,OH,33,Cincinnati/Hamilton County CoC,123,"1,081","10,654",11,33,163,9.056180108,13.1,9,13.084965121
170,FL-515,FL,22,"Panama City/Bay, Jackson Counties CoC",256,378,"25,959",3,22,170,11.892485771,12.6,12,12.596389035
44,MO-501,MO,30,St.Louis City CoC,117,"1,147","5,992",22,30,44,9.711785897,39.1,10,39.105383383
146,NC-502,NC,34,Durham City & County CoC,231,459,"9,382",14,34,146,8.879521214,14.1,9,14.074314835
219,TX-603,TX,37,El Paso City & County CoC,151,836,"24,432",5,37,219,8.265540922,9.6,8,9.631924530
353,VA-604,VA,47,Prince William County CoC,313,241,"6,529",21,47,353,7.541555658,4.4,8,4.428665410
86,NY-608,NY,6,Kingston/Ulster County CoC,246,409,"74,178",2,6,86,37.355170532,22.4,37,22.355712732
76,NV-500,NV,10,Las Vegas/Clark County CoC,15,"5,645","7,618",19,10,76,24.211782220,24.6,24,24.624030960
362,MO-500,MO,30,St. Louis County CoC,260,371,"5,992",22,30,362,9.711785897,3.7,10,3.720465670
370,NY-606,NY,6,Rockland County CoC,367,106,"74,178",2,6,370,37.355170532,3.1,37,3.124751273
177,ID-500,ID,27,Boise/Ada County CoC,185,620,"1,998",44,27,177,10.491967186,12.1,10,12.111007147
77,CA-512,CA,2,Daly/San Mateo County CoC,70,"1,808","171,521",1,2,77,43.819083728,24.5,44,24.502363502
162,MO-603,MO,30,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",350,148,"5,992",22,30,162,9.711785897,13.1,10,13.102794968
93,MN-500,MN,20,Minneapolis/Hennepin County CoC,43,"2,678","7,917",18,20,93,13.861577867,21.1,14,21.129605433
214,MN-508,MN,20,Moorhead/West Central Minnesota CoC,303,253,"7,917",18,20,214,13.861577867,10.1,14,10.072016911
165,FL-509,FL,22,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",150,846,"25,959",3,22,165,11.892485771,12.7,12,12.680179201
267,VA-502,VA,47,"Roanoke City & County, Salem CoC",325,216,"6,529",21,47,267,7.541555658,7.7,8,7.707101595
74,CA-601,CA,2,San Diego City and County CoC,8,"8,427","171,521",1,2,74,43.819083728,25.6,44,25.644622800
277,PA-509,PA,29,Eastern Pennsylvania CoC,52,"2,290","12,691",9,29,277,9.753260418,7.3,10,7.315585744
340,MD-503,MD,36,Annapolis/Anne Arundel County CoC,286,307,"5,349",25,36,340,8.662895308,5.2,9,5.200428231
55,TX-611,TX,37,Amarillo CoC,176,661,"24,432",5,37,55,8.265540922,32.8,8,32.847331962
